tube,time,substrate,strain,formaldehyde_original,cells
11,57.5,succinate,CM2730,3,7.27E+07
12,57.5,succinate,CM2730,4,6.36E+06
13,57.5,succinate,CM3745,0,2.09E+08
14,57.5,succinate,CM3745,2,2.55E+08
15,57.5,succinate,CM3745,3,2.55E+08
16,57.5,succinate,CM3745,4,3.91E+08
1,64,methanol,CM2730,0,2.18E+08
2,64,methanol,CM2730,2,2.27E+08
3,64,methanol,CM2730,3,2.45E+08
4,64,methanol,CM2730,4,2.09E+08
5,64,methanol,CM3745,0,2.45E+08
6,64,methanol,CM3745,2,2.45E+08
7,64,methanol,CM3745,3,2.55E+08
8,64,methanol,CM3745,4,1.82E+08
9,64,succinate,CM2730,0,2.27E+08
10,64,succinate,CM2730,2,2.09E+08
11,64,succinate,CM2730,3,2.00E+08
12,64,succinate,CM2730,4,5.45E+06
13,64,succinate,CM3745,0,1.55E+08
14,64,succinate,CM3745,2,2.91E+08
15,64,succinate,CM3745,3,2.82E+08
16,64,succinate,CM3745,4,1.73E+08
