substrate,strain,formaldehyde_original,tube,time,formaldehyde_mM
methanol,CM3745,2,6,64,0.57798
methanol,CM3745,3,7,64,0.57798
methanol,CM3745,4,8,64,0.582138
succinate,CM2730,0,9,64,0.57798
succinate,CM2730,2,10,64,0.590454
succinate,CM2730,3,11,64,0.586296
succinate,CM2730,4,12,64,1.987542
succinate,CM3745,0,13,64,0.594612
succinate,CM3745,2,14,64,0.57798
succinate,CM3745,3,15,64,0.57798
succinate,CM3745,4,16,64,0.57798
